"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"YWHAZ",7.22898650047725e-09,0.428503801204734,0.857,0.626,0.000105022715878933,"1","YWHAZ"
"MYO1B",1.11251154092944e-08,0.334880991746901,0.378,0.153,0.000161625676666229,"1","MYO1B"
"CLEC11A",1.14964230019898e-08,0.325643961984908,0.328,0.124,0.000167020033372907,"1","CLEC11A"
"C12orf57",1.51306753077098e-08,0.404802246610922,0.95,0.717,0.000219818450870408,"1","C12orf57"
"FAM129A",1.75864161036739e-08,0.297623606488176,0.261,0.084,0.000255495453154175,"1","FAM129A"
"SLC25A3",1.83012988117653e-08,0.394301804353426,0.941,0.761,0.000265881269137326,"1","SLC25A3"
"ADAMTS4",2.14456886216571e-08,0.589139682272817,0.563,0.341,0.000311562964295435,"1","ADAMTS4"
"MSRB3",2.63176703046838e-08,0.395548790298439,0.387,0.176,0.000382343114186446,"1","MSRB3"
"LITAF",2.85429528550123e-08,0.398160289140475,0.403,0.181,0.000414672019077619,"1","LITAF"
"NR4A2",3.6700210350736e-08,0.415275195142449,0.815,0.532,0.000533180655975493,"1","NR4A2"
"JUN",3.89318647111231e-08,0.402605980375624,1,0.987,0.000565602130523197,"1","JUN"
"ATF3",4.04557597994366e-08,0.456410088538262,0.882,0.624,0.000587741278366216,"1","ATF3"
"CRIP1",4.40491492281708e-08,0.38319933819425,0.395,0.178,0.000639946039986865,"1","CRIP1"
"CYC1",6.32523988145942e-08,0.420505221251913,0.588,0.343,0.000918930849978425,"1","CYC1"
"UBA2",6.80064433001387e-08,0.371994062319542,0.395,0.181,0.000987997608264415,"1","UBA2"
"CD36",7.39927458476083e-08,0.978471467359186,0.479,0.275,0.00107496661167405,"1","CD36"
"NAB1",9.27988683906812e-08,0.287952109166745,0.294,0.11,0.00134818195997982,"1","NAB1"
"OAZ2",9.72024370774458e-08,0.489471363830865,0.916,0.689,0.00141215700586113,"1","OAZ2"
"SELM",1.03816530617287e-07,0.431654938331306,0.815,0.57,0.00150824655680795,"1","SELM"
"KLHDC8B",1.06848792438939e-07,0.297727693284577,0.311,0.124,0.00155229925655291,"1","KLHDC8B"
"CRTC3",1.16716993641131e-07,0.287189126452039,0.277,0.102,0.00169566448361834,"1","CRTC3"
"SARAF",1.33905583265452e-07,0.31308240146834,0.908,0.618,0.00194538031368049,"1","SARAF"
