B cells	Liver bud hepatic cells	Myofibroblast	T cells	TAC	TECs
TCGA.DD.AACY.01A	1.47939136067663	2.18579411002539	1.93602230038674	1.95339312381674	1.94350749664938	1.93651876633669
TCGA.CC.A7IF.01A	1.43877392934877	2.18857091749245	1.89853771993232	1.88603975330745	1.84687796580635	1.89351186013718
TCGA.DD.AACD.01A	1.53678893163575	2.18906325564645	1.92850037429505	1.97240264716101	1.99208485485191	1.90893350885222
TCGA.ED.A4XI.01A	1.64292459128126	2.16774922249173	1.98168611554614	1.97485612623355	2.00470027237292	1.96777256525329
TCGA.CC.A9FW.01A	1.683892486944	2.17334535366575	1.86556597260846	1.93837308189652	1.92111330613466	1.83832123830915
TCGA.G3.A5SJ.01A	1.79215344027217	2.17182598280123	1.93115128081228	2.03604459848983	2.03145179810454	1.93138637078707
TCGA.DD.AAE2.01A	1.65618767565806	2.16887100253561	1.92390707262818	1.95762959292546	1.95669274587583	1.9450619280369
TCGA.G3.A7M9.01A	1.49836234118604	2.15051998528951	1.89871395590122	1.918079598655	1.8997389421018	1.86310639231163
TCGA.EP.A2KC.01A	1.57699181281942	2.17465462269502	1.92036800517752	1.91629812966681	1.92733230049544	1.91517660363903
TCGA.2Y.A9GS.01A	1.48551991850994	2.17151123712878	1.92175773434009	1.95189733935582	1.97704328992003	1.90942889131596
TCGA.ED.A7PX.01A	1.63355040777403	2.12389493023951	1.99710040876382	1.97627677616781	1.98547447290745	1.97414309683167
TCGA.DD.AADC.01A	1.57111884800074	2.17161139409233	1.92731499412215	1.93376644183968	1.91910685545102	1.9043870884192
TCGA.DD.AAVZ.01A	1.48637825503761	2.17345256953501	1.93035937576292	1.94196909965747	1.92866309217828	1.9345232918346
TCGA.CC.A3MA.01A	1.42566349147677	2.0954856136839	2.01137419216053	1.94629784856812	1.9565040081923	1.983814356389
TCGA.2Y.A9GY.01A	1.85104542833725	2.16618407524958	1.86832799368704	2.02840290663859	2.04744536464465	1.85572641699281
TCGA.ED.A627.01A	1.82106647507014	2.15703814617678	2.03714641378226	2.04775126773998	2.07799885106575	2.00359077236644
TCGA.2Y.A9GW.01A	1.62439113950929	2.18152675273232	1.97709354507613	2.00856389909844	2.05322677755631	1.95129333718086
TCGA.DD.AADO.01A	1.67169906244254	2.19071092642073	1.87120421574842	2.00859892772888	1.99791829789227	1.84907181853166
TCGA.DD.AADK.01A	1.73294327799401	2.18492803249387	1.96391849957181	1.9754237978615	1.96953511019186	1.92226313377289
TCGA.DD.A1EH.01A	1.60972552449047	2.14264247472686	1.96077753118075	1.941786830576	1.92849903511918	1.9539772728369
TCGA.G3.AAV7.01A	1.48190852785447	2.14574636370061	1.93252861907003	1.98331972978599	2.019670903251	1.91308994961228
