"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KLF6",5.09432311541864e-26,0.341208398562825,0.766,0.524,9.6364216051259e-22,"0","KLF6"
"MTPN",5.21099821426552e-26,0.258976174332242,0.412,0.219,9.85712422210465e-22,"0","MTPN"
"RSRC2",5.58132280286582e-26,0.280361276238207,0.555,0.332,1.0557630213901e-21,"0","RSRC2"
"HNRNPA0",6.32715270282597e-26,0.29372365378519,0.663,0.434,1.19684420526656e-21,"0","HNRNPA0"
"HSP90AB1",7.52927518387039e-26,0.261112174591169,0.981,0.89,1.42423769378092e-21,"0","HSP90AB1"
"TXNDC12",8.38593162948083e-26,0.258058151937923,0.377,0.195,1.58628282703259e-21,"0","TXNDC12"
"LINC00998",8.66933347907652e-26,0.25368113026307,0.383,0.196,1.63989112090211e-21,"0","LINC00998"
"VAMP2",9.3587905175841e-26,0.284609437018537,0.576,0.352,1.77030881430621e-21,"0","VAMP2"
"PRRC2C",1.09857886986703e-25,0.275480542346824,0.603,0.383,2.07807179024047e-21,"0","PRRC2C"
"GTF2I",1.3966347698365e-25,0.282567170471302,0.439,0.244,2.64187433062272e-21,"0","GTF2I"
"PFKL",1.52184753466147e-25,0.271583675378206,0.353,0.179,2.87872679656564e-21,"0","PFKL"
"SRP72",1.55652254517163e-25,0.288438475099101,0.412,0.228,2.94431804644665e-21,"0","SRP72"
"DNAJA4",2.21746454909074e-25,0.288381152294399,0.264,0.111,4.19455594106004e-21,"0","DNAJA4"
"RPL27",2.6313107676254e-25,0.270028031538061,0.99,0.952,4.9773874480402e-21,"0","RPL27"
"RPL27A",3.08343575671189e-25,0.262778045312254,1,0.988,5.83262707739621e-21,"0","RPL27A"
"RBM17",3.08697907648145e-25,0.295909470825653,0.437,0.248,5.83932962107231e-21,"0","RBM17"
"FAM195B",4.31332760335574e-25,0.258435664624724,0.398,0.21,8.15909049450772e-21,"0","FAM195B"
"SBDS",4.934262905207e-25,0.25045440693484,0.514,0.293,9.33365171148957e-21,"0","SBDS"
"BRD4",5.69451388846945e-25,0.252109430875053,0.362,0.184,1.07717424714288e-20,"0","BRD4"
"DNAJB6",6.60031091755668e-25,0.340134254861255,0.683,0.488,1.24851481316502e-20,"0","DNAJB6"
"GNB2",1.6391653798309e-24,0.274078883099667,0.437,0.246,3.10064523248813e-20,"0","GNB2"
"TCEAL8",2.08203546951091e-24,0.253191337404513,0.439,0.246,3.93837829412685e-20,"0","TCEAL8"
"N4BP2L2",2.33656948356152e-24,0.274596989942644,0.658,0.435,4.41985483510497e-20,"0","N4BP2L2"
"EDF1",4.55899264006296e-24,0.282494749581736,0.904,0.766,8.62379047794309e-20,"0","EDF1"
"SPOP",5.22709732971035e-24,0.257601641534495,0.351,0.182,9.8875773088801e-20,"0","SPOP"
"RAB7A",6.90008808274489e-24,0.29444396954757,0.585,0.373,1.30522066173202e-19,"0","RAB7A"
"SERBP1",7.94722102293334e-24,0.307173708101582,0.701,0.497,1.50329632869807e-19,"0","SERBP1"
"WDR1",8.7117362262498e-24,0.260108444296804,0.446,0.25,1.64791202455741e-19,"0","WDR1"
"PDCD6",9.3016125868501e-24,0.275245528381829,0.464,0.273,1.75949303692857e-19,"0","PDCD6"
"C10orf54",9.40578850516049e-24,0.258028763859804,0.35,0.178,1.77919895363616e-19,"0","C10orf54"
"SNRPB2",1.01762520111396e-23,0.26466838163813,0.518,0.311,1.92493983042716e-19,"0","SNRPB2"
"NUDT4",1.55059363969351e-23,0.384090539977672,0.371,0.204,2.93310292884425e-19,"0","NUDT4"
"SLC3A2",3.67016354539054e-23,0.289196544228558,0.46,0.273,6.94248136246074e-19,"0","SLC3A2"
"YIPF3",3.72730394422641e-23,0.265367573356179,0.427,0.244,7.05056814089868e-19,"0","YIPF3"
"VAPA",4.07919759626638e-23,0.294665674182171,0.674,0.459,7.71621017309749e-19,"0","VAPA"
"RABAC1",4.73500555541394e-23,0.307169758082647,0.729,0.542,8.956736508621e-19,"0","RABAC1"
"SRSF2",5.26100587738673e-23,0.287119494742056,0.733,0.525,9.95171871766473e-19,"0","SRSF2"
"CHD4",7.24789702161929e-23,0.275007971463287,0.361,0.196,1.3710122006095e-18,"0","CHD4"
"TBCB",8.70156515914037e-23,0.287385983825096,0.488,0.293,1.64598806550299e-18,"0","TBCB"
"DYNLRB1",1.22627144016947e-22,0.262343855737435,0.621,0.402,2.31961505622456e-18,"0","DYNLRB1"
"RBM3",2.114719847829e-22,0.265824921176693,0.652,0.427,4.00020406415334e-18,"0","RBM3"
"SRSF5",2.14950931274969e-22,0.332166229671716,0.726,0.541,4.06601181599731e-18,"0","SRSF5"
"EIF1AX",3.29501453736483e-22,0.276105995460617,0.565,0.365,6.23284949887932e-18,"0","EIF1AX"
"PNN",7.53291680903647e-22,0.256347016390236,0.417,0.239,1.42492654359734e-17,"0","PNN"
